id,titulo,descripcion,hay_stock,precio,unidad,imagen,es_oferta,tags
CAST_01,Castañas de cajú crudas partidas,,sí,1600,los 100g,https://lh3.googleusercontent.com/d/1rAIPWGpup7i0VK0hkX9N4DxIGTHFZqUJ,no,frutos secos
CEDR_00,Cedrón hojas,,sí,1870,los 100g,https://lh3.googleusercontent.com/d/1KKv7MYGCHFrfMqGqOpWiQQhMnIGD4apO,no,yuyitos|tecitos
CHIM_00,Chimichurri,,sí,1700,los 100g,https://lh3.googleusercontent.com/d/1vU6mi1jy-cVICKPOvLW7lSW6PWP5kGlR,no,especias
CHOC_00,Chocolate 60%,Orgánico. Marca Colonial,no,0,los 100g,https://lh3.googleusercontent.com/d/1N1m5sx9poeNYW5MFwDzKXtAZGSOey8EY,no,sin TACC|chocolate|orgánico|vegano
CHOC_01,Chocolate 70%,Orgánico. Marca Colonial,no,0,los 100g,https://lh3.googleusercontent.com/d/1XZaG27h7e1mOX2CU9ZFWqCuPX5C7dO1G,no,sin TACC|chocolate|orgánico|vegano
CHOC_02,Chocolate 80%,Orgánico. Marca Colonial,no,0,los 100g,https://lh3.googleusercontent.com/d/1Cy3Pl8kuJ7griG8-5mdp324nKJN2LkZs,no,sin TACC|chocolate|orgánico|vegano
CHOC_03,Chocolate 60% barrita,Orgánico. Marca Colonial,no,0,la barrita de 16g,,no,sin TACC|chocolate|orgánico|vegano
CHOC_04,Chocolate 70% barrita,Orgánico. Marca Colonial,no,0,la barrita de 16g,,no,sin TACC|chocolate|orgánico|vegano
CHOC_05,Chocolate 80% barrita,Orgánico. Marca Colonial,no,0,la barrita de 16g,,no,sin TACC|chocolate|orgánico|vegano
CHOC_06,Chocolate sin azúcar agregada 70%,Con stevia. Marca Colonial,no,0,los 100g,https://lh3.googleusercontent.com/d/10cwTQToCjkO0jclHMh34E4G-iXYLNUuc,no,sin TACC|chocolate|orgánico|vegano
COCO_00,Coco rallado,,sí,1450,los 100g,https://lh3.googleusercontent.com/d/16Q_vgZmN_w1N0cIfY2eWEPoIyQeWbvOJ,no,
COLA_00,Cola de caballo,,sí,1350,los 100g,https://lh3.googleusercontent.com/d/1nUHSBt1RevkE-aN80Wcvo3NldTjvKtwy,no,yuyitos|tecitos
COMI_00,Comino,,sí,1300,los 50g,https://lh3.googleusercontent.com/d/1ux2jxRL9AkfFGsxPrG8FESlfkebQ256q,no,especias
CREA_00,Creatina,Monohidrato micronizada,no,0,,,no,suplementos
CURC_00,Cúrcuma en polvo,,sí,2200,los 100g,https://lh3.googleusercontent.com/d/1m5ltxkU1TDVXN-Ka3Bj9ECXDorvD5JX3,no,especias
CURR_00,Curry de la india,Picante suave,sí,1300,los 100g,https://lh3.googleusercontent.com/d/1SvA6qU5EZb11q41ETwJNr2ZTnClAS17N,no,especias
DATI_00,Dátiles,Naturales con carozo,sí,8300,el kg,https://lh3.googleusercontent.com/d/1t4H5OQaMEpR0nIM61uwS7-bvwZFiN-Eq,no,frutos secos
ESPI_00,Espirulina,,no,0,,,no,suplementos|especias
EXTR_00,Extracto natural de vainilla,Marca El Castillo,sí,7000,los 100cc,https://lh3.googleusercontent.com/d/1OlpFVbmrFUOIarDAP53GF6PkaUmmrw1Q,no,especias
